Date,Close,Open,High,Low,Vol,% Change
2016-07-05,650.88,650.47,658.45,647.52,149.33K,0.45%
2016-07-06,649.46,646.80,652.36,644.07,136.95K,-0.22%
2016-07-07,661.12,652.49,661.12,652.13,137.26K,1.80%
2016-07-08,658.68,661.07,665.53,655.91,144.00K,-0.37%
2016-07-11,652.26,658.92,664.89,648.77,162.22K,-0.97%
2016-07-12,658.90,652.81,658.90,649.86,175.61K,1.02%
2016-07-13,675.12,662.04,676.06,662.04,159.94K,2.46%
2016-07-14,666.69,675.66,681.75,666.69,160.11K,-1.25%
2016-07-15,664.56,666.69,670.18,661.47,131.14K,-0.32%
2016-07-18,673.50,664.12,673.50,662.25,131.48K,1.35%
2016-07-19,667.76,675.89,677.35,660.09,139.59K,-0.85%
2016-07-20,660.26,667.86,667.86,660.26,129.41K,-1.12%
2016-07-21,659.57,662.72,665.90,656.03,112.38K,-0.10%
2016-07-22,649.87,657.15,658.06,640.26,151.76K,-1.47%
2016-07-25,649.30,651.33,654.17,646.04,97.52K,-0.09%
2016-07-26,648.59,648.58,651.93,642.91,106.20K,-0.11%
2016-07-27,656.11,647.98,656.11,647.74,127.21K,1.16%
2016-07-28,657.14,655.81,657.20,649.86,123.00K,0.16%
2016-07-29,652.23,654.19,657.88,650.98,120.01K,-0.75%
2016-08-01,648.38,655.38,655.38,646.02,92.79K,-0.59%
2016-08-02,636.05,643.20,643.20,633.33,176.39K,-1.90%
2016-08-03,631.61,632.98,634.75,627.66,94.95K,-0.70%
2016-08-04,631.94,633.74,641.02,631.94,112.05K,0.05%
2016-08-05,627.39,629.69,630.18,622.49,125.58K,-0.72%
2016-08-08,629.46,627.39,629.91,622.14,90.03K,0.33%
2016-08-09,637.34,629.66,637.34,629.66,98.87K,1.25%
2016-08-10,648.33,637.21,648.48,637.21,120.83K,1.72%
2016-08-11,660.24,649.27,660.24,648.31,140.93K,1.84%
2016-08-12,655.71,665.14,668.52,652.67,125.03K,-0.69%
2016-08-15,659.47,654.06,659.47,653.64,117.96K,0.57%
2016-08-16,658.11,659.47,662.13,656.83,160.32K,-0.21%
2016-08-17,660.51,659.46,660.76,657.06,123.97K,0.36%
2016-08-18,660.65,663.56,665.94,656.35,131.63K,0.02%
2016-08-19,662.28,664.09,666.93,659.64,109.70K,0.25%
2016-08-22,657.68,662.87,664.95,657.68,116.31K,-0.69%
2016-08-23,659.16,653.58,659.16,652.88,109.08K,0.23%
2016-08-24,660.77,660.95,665.43,659.70,103.85K,0.24%
2016-08-25,658.50,660.77,660.77,656.49,116.13K,-0.34%
2016-08-26,667.75,662.90,668.84,662.90,116.44K,1.40%
2016-08-29,669.44,670.71,679.62,669.44,114.89K,0.25%
2016-08-30,672.67,667.96,672.67,666.33,96.55K,0.48%
2016-08-31,674.63,673.10,676.26,671.39,115.73K,0.29%
2016-09-01,669.19,674.19,674.72,664.77,102.24K,-0.81%
2016-09-05,664.55,669.30,670.08,660.31,110.45K,-0.69%
2016-09-06,663.90,666.38,668.40,663.90,108.99K,-0.10%
2016-09-07,661.28,663.05,663.68,656.22,106.48K,-0.39%
2016-09-08,666.07,661.89,668.20,660.54,124.56K,0.72%
2016-09-09,666.88,669.24,672.39,666.88,106.07K,0.12%
2016-09-12,659.76,665.77,666.04,655.55,101.34K,-1.07%
2016-09-13,659.72,658.61,661.74,654.95,87.74K,-0.01%
2016-09-14,656.64,658.16,661.82,656.64,96.41K,-0.47%
2016-09-15,656.18,657.46,660.32,654.84,112.72K,-0.07%
2016-09-16,651.31,654.68,657.53,651.31,206.94K,-0.74%
2016-09-19,657.89,651.31,658.35,651.31,107.31K,1.01%
2016-09-20,663.37,656.20,663.37,653.28,118.44K,0.83%
2016-09-21,668.48,663.12,668.83,662.79,158.85K,0.77%
2016-09-22,671.38,668.48,675.36,668.48,144.40K,0.43%
2016-09-23,674.09,670.73,674.09,670.30,176.04K,0.40%
2016-09-26,677.04,673.21,677.04,671.51,162.24K,0.44%
2016-09-27,684.89,676.61,684.89,676.24,130.57K,1.16%
2016-09-28,686.72,684.99,687.94,682.98,128.18K,0.27%
2016-09-29,688.55,689.82,692.17,685.91,115.92K,0.27%
2016-09-30,685.73,688.55,689.12,684.62,115.74K,-0.41%
2016-10-03,683.05,687.68,688.42,681.99,121.37K,-0.39%
2016-10-04,684.20,682.82,689.17,680.24,123.10K,0.17%
2016-10-05,687.04,686.41,689.50,685.48,116.97K,0.42%
2016-10-06,687.32,687.04,690.93,687.04,150.66K,0.04%
2016-10-07,683.95,689.51,690.19,680.26,140.06K,-0.49%
2016-10-10,674.19,684.05,684.46,674.19,139.49K,-1.43%
2016-10-11,682.36,677.63,682.36,669.20,148.02K,1.21%
2016-10-12,682.45,683.88,686.18,681.12,120.75K,0.01%
2016-10-13,685.23,680.73,685.23,678.79,125.24K,0.41%
2016-10-14,687.00,685.06,690.62,684.78,164.68K,0.26%
2016-10-17,680.95,687.18,687.94,680.95,113.71K,-0.88%
2016-10-18,682.02,680.44,682.99,678.13,132.56K,0.16%
2016-10-19,688.89,683.83,689.88,683.25,149.35K,1.01%
2016-10-20,686.39,690.45,690.86,685.63,121.09K,-0.36%
2016-10-21,684.83,685.77,687.54,683.76,136.02K,-0.23%
2016-10-24,678.02,683.14,684.51,677.89,125.47K,-0.99%
2016-10-25,676.18,676.29,677.47,670.60,127.87K,-0.27%
2016-10-26,673.61,676.18,676.18,670.80,102.38K,-0.38%
2016-10-27,676.90,672.81,676.90,671.61,91.03K,0.49%
2016-10-28,682.25,676.74,682.25,675.85,117.26K,0.79%
2016-10-31,675.80,682.11,683.34,675.80,130.15K,-0.95%
2016-11-01,676.60,675.13,676.60,672.33,118.66K,0.12%
2016-11-02,671.40,675.68,678.14,671.40,142.39K,-0.77%
2016-11-03,667.63,668.66,668.66,661.86,128.26K,-0.56%
2016-11-04,666.73,666.93,668.99,665.08,87.22K,-0.13%
2016-11-07,674.14,667.12,674.36,666.61,102.95K,1.11%
2016-11-08,676.46,675.82,677.91,674.33,96.71K,0.34%
2016-11-09,670.26,675.57,675.57,656.68,148.00K,-0.92%
2016-11-10,678.17,675.36,678.57,675.18,119.98K,1.18%
2016-11-11,679.20,678.38,679.56,676.73,115.75K,0.15%
2016-11-14,673.05,677.13,679.96,672.45,121.62K,-0.91%
2016-11-15,674.26,673.75,675.73,671.55,118.00K,0.18%
2016-11-16,674.60,674.85,676.90,673.95,111.24K,0.05%
2016-11-17,674.57,674.50,676.48,673.13,128.55K,0.00%
2016-11-18,673.25,673.82,675.15,669.18,104.89K,-0.20%
2016-11-21,674.29,673.20,675.04,671.65,103.61K,0.15%
2016-11-22,681.91,675.23,681.91,675.23,113.02K,1.13%
2016-11-23,683.16,681.17,684.12,679.81,116.63K,0.18%
2016-11-24,678.18,683.61,683.61,676.39,125.30K,-0.73%
2016-11-25,675.87,678.47,678.87,671.48,115.87K,-0.34%
2016-11-28,665.29,672.38,673.18,660.96,107.43K,-1.57%
2016-11-29,658.26,665.11,667.79,658.26,117.03K,-1.06%
2016-11-30,665.07,658.44,665.78,654.99,155.54K,1.03%
2016-12-01,666.54,670.75,670.81,666.54,127.43K,0.22%
2016-12-02,665.14,667.02,667.39,662.09,135.98K,-0.21%
2016-12-05,660.21,663.06,663.87,658.11,157.01K,-0.74%
2016-12-06,651.49,660.68,660.77,648.37,126.60K,-1.32%
2016-12-07,653.53,648.63,654.13,647.33,130.47K,0.31%
2016-12-08,658.89,655.48,660.72,655.48,135.12K,0.82%
2016-12-09,663.07,659.46,664.46,659.46,119.36K,0.63%
2016-12-12,659.70,663.70,664.67,658.84,111.50K,-0.51%
2016-12-13,654.66,662.27,663.54,654.34,135.08K,-0.76%
2016-12-14,665.14,657.39,665.14,657.39,212.10K,1.60%
2016-12-15,665.92,668.07,668.07,664.08,126.55K,0.12%
2016-12-16,675.16,670.43,675.19,668.30,177.18K,1.39%
2016-12-19,674.33,673.98,679.90,673.88,124.37K,-0.12%
2016-12-20,662.66,673.93,674.28,662.66,100.04K,-1.73%
2016-12-21,666.94,662.36,667.06,657.40,130.13K,0.65%
2016-12-22,664.15,669.01,669.95,663.70,94.91K,-0.42%
2016-12-23,664.37,663.75,664.37,659.18,114.63K,0.03%
2016-12-26,662.45,665.67,665.73,662.09,114.88K,-0.29%
2016-12-27,663.86,662.66,665.50,661.41,160.24K,0.21%
2016-12-28,663.50,665.90,666.64,661.80,118.80K,-0.05%
2016-12-29,664.72,666.43,666.43,663.95,116.50K,0.18%
2016-12-30,664.87,664.17,665.49,663.39,121.55K,0.02%
2017-01-03,672.01,665.92,672.34,665.43,84.66K,1.07%
2017-01-04,674.70,672.58,675.93,672.21,110.03K,0.40%
2017-01-05,675.81,674.82,675.92,673.31,102.17K,0.16%
2017-01-06,679.80,675.35,683.76,675.22,127.41K,0.59%
2017-01-09,682.57,681.74,684.88,681.74,101.40K,0.41%
2017-01-10,681.07,682.77,683.02,680.76,87.80K,-0.22%
2017-01-11,687.16,680.85,687.16,680.85,108.71K,0.89%
2017-01-12,686.96,688.71,688.99,685.59,112.44K,-0.03%
2017-01-13,685.06,686.58,688.62,685.06,94.95K,-0.28%
2017-01-16,677.94,684.62,684.82,677.85,89.57K,-1.04%
2017-01-17,684.71,678.83,684.73,678.83,108.97K,1.00%
2017-01-18,683.28,683.74,688.07,683.28,101.06K,-0.21%
2017-01-19,682.31,683.02,684.19,680.80,89.19K,-0.14%
2017-01-20,686.26,684.05,688.42,684.05,90.69K,0.58%
2017-01-23,687.15,687.83,689.47,686.46,87.81K,0.13%
2017-01-24,691.36,687.08,692.75,687.08,98.37K,0.61%
2017-01-25,697.28,693.07,697.28,691.19,98.35K,0.86%
2017-02-02,703.18,699.80,703.20,697.71,86.42K,0.85%
2017-02-03,700.35,704.69,708.10,700.09,124.67K,-0.40%
2017-02-06,700.04,702.02,702.02,696.92,126.96K,-0.04%
2017-02-07,701.91,699.99,703.30,698.99,158.64K,0.27%
2017-02-08,702.04,702.67,702.77,700.47,156.11K,0.02%
2017-02-09,700.65,700.93,702.64,700.21,147.55K,-0.20%
2017-02-10,703.78,701.15,704.08,701.15,138.32K,0.45%
2017-02-13,705.90,704.61,706.47,703.58,161.22K,0.30%
2017-02-14,706.26,706.41,707.32,703.85,175.12K,0.05%
2017-02-15,711.57,706.84,711.73,706.84,169.00K,0.75%
2017-02-16,709.35,712.61,717.57,709.35,198.42K,-0.31%
2017-02-17,707.83,709.52,710.21,705.84,166.18K,-0.21%
2017-02-20,710.59,705.72,711.40,704.41,199.90K,0.39%
2017-02-21,716.55,711.49,718.06,711.49,210.81K,0.84%
2017-02-22,717.24,717.77,719.09,715.36,231.76K,0.10%
2017-02-23,716.87,717.49,719.58,712.36,228.28K,-0.05%
2017-02-24,714.47,716.35,717.94,713.70,232.80K,-0.33%
2017-02-27,717.44,711.70,718.37,711.70,182.51K,0.42%
2017-02-28,710.79,718.24,719.14,710.79,192.32K,-0.93%
